Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
MPL Services Corp,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fmplcorp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://mplcorp.com (New Window)"">http://mplcorp.com</a>",FL,Connor Fulk,2/27/2025,Less than 5M,"12,401.00",3,Outbound
Dunigan Brothers Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fduniganbros.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://duniganbros.com (New Window)"">http://duniganbros.com</a>",MI,Tyler Green,2/27/2025,20M-50M,"54,423.02",3,Outbound
Baer Construction Inc.,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fbaerconstruction.net%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://baerconstruction.net/ (New Window)"">https://baerconstruction.net/</a>",CA,Michael Amit,2/26/2025,5M-10M,"11,175.75",4,Unknown
"Nutone Construction , Inc.","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.nutoneconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.nutoneconstruction.com (New Window)"">https://www.nutoneconstruction.com</a>",NV,Liam Duddy,2/26/2025,20M-50M,"24,444.00",2,Outbound
KE Construction LLC.,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.keconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.keconstruction.com/ (New Window)"">https://www.keconstruction.com/</a>",MT,Michael Amit,2/26/2025,20M-50M,"53,950.81",2,Inbound
San Joaquin Operators,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fsanjoaquinoperators.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://sanjoaquinoperators.com/ (New Window)"">https://sanjoaquinoperators.com/</a>",CA,Liam Duddy,2/26/2025,Less than 5M,"9,937.00",1,Inbound
"Gwynn Construction, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fgwynnconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://gwynnconstruction.com/ (New Window)"">https://gwynnconstruction.com/</a>",AZ,Parker Ornellas,2/25/2025,5M-10M,"14,069.00",1,Inbound
Kiktavi Build Inc.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fkiktaviinc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://kiktaviinc.com/ (New Window)"">http://kiktaviinc.com/</a>",CA,RJ Wenger,2/25/2025,Less than 5M,"10,904.40",3,Outbound
Parker Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.parkercci.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.parkercci.com/ (New Window)"">http://www.parkercci.com/</a>",RI,Myles Joseph,2/24/2025,10M-20M,"32,269.72",2,Inbound
"Griffiths Construction, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgriffithsconstruction.net%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://griffithsconstruction.net/ (New Window)"">http://griffithsconstruction.net/</a>",PA,Austin Sims,2/24/2025,20M-50M,"36,141.35",5,Outbound
Generation Constructors LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgenerationhc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://generationhc.com (New Window)"">http://generationhc.com</a>",CO,Jon Singer,2/24/2025,5M-10M,"5,500.00",3,Outbound
RML Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Frmlconstructioninc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://rmlconstructioninc.com (New Window)"">http://rmlconstructioninc.com</a>",NJ,David Zelaya Otero,2/24/2025,5M-10M,"16,500.99",1,Inbound
"Wind River Builders, LLC.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwindriverbuildersinc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://windriverbuildersinc.com/ (New Window)"">http://windriverbuildersinc.com/</a>",WY,Greg Jackey,2/21/2025,5M-10M,"20,189.40",2,Inbound
D.M. Neuman Construction Co.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fdmneuman.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://dmneuman.com (New Window)"">http://dmneuman.com</a>",CO,Caoilinn Mcdonough,2/21/2025,5M-10M,"10,239.58",1,Outbound
Grand Lake Building Co.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgrandlakebuildingco.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://grandlakebuildingco.com (New Window)"">http://grandlakebuildingco.com</a>",OH,Moshup Galbraith,2/21/2025,10M-20M,"24,611.44",1,Inbound
Skybox Homes,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fskyboxbuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://skyboxbuilders.com (New Window)"">http://skyboxbuilders.com</a>",TX,Madison Tedesco,2/21/2025,Less than 5M,"8,890.72",1,Outbound
HRNCIR Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.hrncir-construction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.hrncir-construction.com (New Window)"">http://www.hrncir-construction.com</a>",TX,Liam Duddy,2/20/2025,20M-50M,"20,223.00",3,Outbound
Falcon General Contracting -HQ,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Ffalconconstruction.net%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://falconconstruction.net/ (New Window)"">https://falconconstruction.net/</a>",MA,Myles Joseph,2/20/2025,10M-20M,"10,111.50",3,Outbound
Stenmark Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fstenmarkconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://stenmarkconstruction.com (New Window)"">http://stenmarkconstruction.com</a>",FL,Tyler Green,2/20/2025,Less than 5M,"9,669.00",1,Outbound
CGM Construction Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.constructioncgm.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.constructioncgm.com (New Window)"">http://www.constructioncgm.com</a>",GA,Tayler Macomber,2/20/2025,20M-50M,"39,551.63",2,Outbound
Legacy Contractors Group,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Flegacygroupoffl.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://legacygroupoffl.com/ (New Window)"">https://legacygroupoffl.com/</a>",FL,Parker Ornellas,2/20/2025,5M-10M,"13,909.00",1,Inbound
SCT Skyline Construction Corp.,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.sheng-sctthai.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.sheng-sctthai.com/ (New Window)"">https://www.sheng-sctthai.com/</a>",NY,Tyler Green,2/20/2025,10M-20M,"10,000.00",2,Outbound
Rugged Building Company,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fruggedbuildingco.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://ruggedbuildingco.com (New Window)"">http://ruggedbuildingco.com</a>",ID,Hall Blake Bryant,2/18/2025,5M-10M,"10,401.00",2,Outbound
Capital General Contracting,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fcapital-gc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://capital-gc.com (New Window)"">http://capital-gc.com</a>",MN,Austin Sims,2/14/2025,Less than 5M,"11,577.00",1,Inbound
W.J. Carey Construction Corp.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.wjcarey.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.wjcarey.com/ (New Window)"">http://www.wjcarey.com/</a>",IN,Jon Singer,2/14/2025,10M-20M,"29,647.86",2,Inbound
"Irish Creek, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.irishcreekinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.irishcreekinc.com (New Window)"">http://www.irishcreekinc.com</a>",PA,RJ Wenger,2/13/2025,10M-20M,"11,069.00",1,Inbound
Ernst Brothers,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.ernstbrothers.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.ernstbrothers.com/ (New Window)"">https://www.ernstbrothers.com/</a>",PA,Jon Singer,2/13/2025,20M-50M,"28,110.54",2,Outbound
Dressler Construction LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fdresslerconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://dresslerconstruction.com (New Window)"">http://dresslerconstruction.com</a>",SC,Caoilinn Mcdonough,2/13/2025,20M-50M,"33,696.16",2,Outbound
VONSOL Construction Inc.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fvonsolpartners.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://vonsolpartners.com (New Window)"">http://vonsolpartners.com</a>",RI,Javier Gutierrez,2/13/2025,10M-20M,"27,024.16",2,Outbound
D3vcon,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F-%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://- (New Window)"">http://-</a>",FL,Greg Jackey,2/13/2025,Less than 5M,"13,037.00",1,Unknown
Ariva  homes,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Farivaco.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://arivaco.com (New Window)"">http://arivaco.com</a>",TX,Austin Sims,2/13/2025,10M-20M,"22,180.32",1,Inbound
Rowdy Red Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Frowdy-red.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://rowdy-red.com (New Window)"">http://rowdy-red.com</a>",CA,Steven Dreilinger,2/12/2025,5M-10M,"15,600.90",1,Inbound
"Hellman Construction Co., Inc","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.hellmanconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.hellmanconstruction.com/ (New Window)"">http://www.hellmanconstruction.com/</a>",NY,Connor Fulk,2/12/2025,20M-50M,"9,669.00",4,Outbound
InDecca,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Findecca.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://indecca.com (New Window)"">http://indecca.com</a>",OH,Madison Tedesco,2/12/2025,20M-50M,"35,000.00",1,Inbound
"Frank Allen Construction, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F-%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://- (New Window)"">http://-</a>",NE,Greg Jackey,2/12/2025,Less than 5M,"8,837.00",1,Inbound
